MobyGames Name,Master_ID,,Game Title,MobyGames Game ID,MobyGames URL,Release year,Price,Price(n/a=0),moby score,Second_hand_Available_all,Second_hand_over100$,Available_New_distribution,New_distribution_only(no second hand),Category,カテゴリ名,count_dummy,Available?,Source of availability,Availability notes,Platform,Product code,Why omitted?,,
hangman_____,677,Historical_games,Hangman,66663,http://www.mobygames.com/game/hangman_____,1982,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
daytona-usa-cce-net-link-edition,678,Historical_games,Daytona USA: C.C.E. Net Link Edition,49959,http://www.mobygames.com/game/daytona-usa-cce-net-link-edition,1998,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
lester-the-unlikely,679,Historical_games,Lester the Unlikely,11666,http://www.mobygames.com/game/lester-the-unlikely,1994,,0,5.8,0,0,0,0,0,F:入手困難,1,N,,,,,,,
car-polo,680,Historical_games,Car Polo,97283,http://www.mobygames.com/game/car-polo,1977,7.99,7.994129642,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
heavy-armor-brigade,681,Historical_games,Heavy Armor Brigade,88251,http://www.mobygames.com/game/heavy-armor-brigade,2007,5.99,5.990305442,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
star-trek-starfleet-command,682,Historical_games,Star Trek: Starfleet Command,1923,http://www.mobygames.com/game/star-trek-starfleet-command,1999,4.99,4.988393342,7.9,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://store.steampowered.com/app/364820/Star_Trek_Starfleet_Command_Gold_Edition/,Rerelease with additional content,,,,,
hidden-expedition-everest,683,Historical_games,Hidden Expedition: Everest,35932,http://www.mobygames.com/game/hidden-expedition-everest,2007,3.97,3.972369804,6.8,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://store.steampowered.com/app/50930/Hidden_Expedition_Everest/,,,,,,
jungle-boy_,684,Historical_games,Jungle Boy,153311,http://www.mobygames.com/game/jungle-boy_,1983,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
batman-arkham-asylum,685,Historical_games,Batman: Arkham Asylum,42258,http://www.mobygames.com/game/batman-arkham-asylum,2009,0.99,0.987800662,8.8,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://store.steampowered.com/app/35140/Batman_Arkham_Asylum_Game_of_the_Year_Edition/,Game of the Year Edition; also available on gog.com,,,,,
shining-in-the-darkness,686,Historical_games,Shining in the Darkness,7005,http://www.mobygames.com/game/shining-in-the-darkness,1991,13,13.00369014,7.5,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://store.steampowered.com/app/71161/Shining_in_the_Darkness/,Ported to Windows,,,,,
checkmate_____,687,Historical_games,Checkmate!,181322,http://www.mobygames.com/game/checkmate_____,1979,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
asteroid___,688,Historical_games,Asteroid,153152,http://www.mobygames.com/game/asteroid___,1980,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
major-league-baseball,689,Historical_games,Major League Baseball,12329,http://www.mobygames.com/game/major-league-baseball,1980,2.29,2.293108679,6.6,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
dough-boy,690,Historical_games,Dough Boy,52854,http://www.mobygames.com/game/dough-boy,1983,1.03,1.030134976,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
marvel-heroes_,691,Historical_games,Marvel Heroes,151453,http://www.mobygames.com/game/marvel-heroes_,2007,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
thief,692,Historical_games,Thief,63511,http://www.mobygames.com/game/thief,1981,22.99,22.99458826,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
robot-hunter,693,Historical_games,Robot Hunter,150988,http://www.mobygames.com/game/robot-hunter,1979,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
porsche-challenge,694,Historical_games,Porsche Challenge,8854,http://www.mobygames.com/game/porsche-challenge,1997,3.32,3.323243655,7.4,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
super-solvers-treasure-mountain,695,Historical_games,Super Solvers: Treasure Mountain!,13629,http://www.mobygames.com/game/super-solvers-treasure-mountain,1990,,0,7.8,0,0,0,0,0,F:入手困難,1,N,,,,,,,
pokmon-rumble,696,Historical_games,Pok?mon Rumble,47301,http://www.mobygames.com/game/pokmon-rumble,2009,14.01,14.00560224,6.8,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
killer-mansion,697,Historical_games,Killer Mansion,179047,http://www.mobygames.com/game/killer-mansion,1982,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
digimon-rumble-arena,698,Historical_games,Digimon Rumble Arena,7475,http://www.mobygames.com/game/digimon-rumble-arena,2001,3.89,3.887701176,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
ace-ventura,699,Historical_games,Ace Ventura,4757,http://www.mobygames.com/game/ace-ventura,1996,6.72,6.724100219,6.4,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
ninja-emaki,700,Historical_games,Ninja Emaki,143308,http://www.mobygames.com/game/ninja-emaki,1986,8.5,8.495085692,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
impact-racing,701,Historical_games,Impact Racing,24208,http://www.mobygames.com/game/impact-racing,1996,3.79,3.78892111,6.8,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
unnatural-selection,702,Historical_games,Unnatural Selection,8656,http://www.mobygames.com/game/unnatural-selection,1993,,0,7,0,0,0,0,0,F:入手困難,1,N,,,,,,,
bill-nye-the-science-guy-stop-the-rock,703,Historical_games,Bill Nye: The Science Guy - Stop the Rock!,71854,http://www.mobygames.com/game/bill-nye-the-science-guy-stop-the-rock,1996,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
blitz-the-league,704,Historical_games,Blitz: The League,19552,http://www.mobygames.com/game/blitz-the-league,2005,1.25,1.248862265,7.3,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
prince-of-qin,705,Historical_games,Prince of Qin,8958,http://www.mobygames.com/game/prince-of-qin,2002,6.4,6.399537145,6.5,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://store.steampowered.com/app/1717410/Prince_of_Qin/,,,,,,
valdez,706,Historical_games,Valdez,64414,http://www.mobygames.com/game/valdez,1979,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
vigilante-8-arcade,707,Historical_games,Vigilante 8: Arcade,37523,http://www.mobygames.com/game/vigilante-8-arcade,2008,,0,6,0,0,1.2,1.3,1.2,C:正規デジタル流通のみ,1,Y,https://marketplace.xbox.com/en-us/product/vigilante-8-arcade/66acd000-77fe-1000-9115-d802584108a8,,,,,,
alone-in-the-dark-the-new-nightmare,708,Historical_games,Alone in the Dark: The New Nightmare,4183,http://www.mobygames.com/game/alone-in-the-dark-the-new-nightmare,2001,1.27,1.270029422,7.1,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://www.gog.com/en/game/alone_in_the_dark_the_new_nightmare,,,,,,
fairyland-melody-magic,709,Historical_games,Fairyland: Melody Magic,87983,http://www.mobygames.com/game/fairyland-melody-magic,2009,2.2,2.201384332,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
fight-fever,710,Historical_games,Fight Fever,134189,http://www.mobygames.com/game/fight-fever,1994,500.1,500.0952522,,1,0.5,0,0,1.5,B:プレミア中古,1,N,,,,,,,
world-tour-racing,711,Historical_games,World Tour Racing,7051,http://www.mobygames.com/game/world-tour-racing,1997,55.57,55.57084295,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
oldorfs-revenge,712,Historical_games,Oldorf's Revenge,118324,http://www.mobygames.com/game/oldorfs-revenge,1980,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
front-page-sports-football-pro,713,Historical_games,Front Page Sports: Football Pro,18766,http://www.mobygames.com/game/front-page-sports-football-pro,1993,15,15.00045862,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
socom-us-navy-seals-fireteam-bravo-2,714,Historical_games,SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,32354,http://www.mobygames.com/game/socom-us-navy-seals-fireteam-bravo-2,2006,3.79,3.78892111,7.7,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
seven-samurai-20xx,715,Historical_games,Seven Samurai 20XX,14159,http://www.mobygames.com/game/seven-samurai-20xx,2004,3,2.998680581,5.9,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
combat-command-2-danger-forward,716,Historical_games,Combat Command 2: Danger Forward,3175,http://www.mobygames.com/game/combat-command-2-danger-forward,2000,,0,5.6,0,0,0,0,0,F:入手困難,1,N,,,,,,,
general-trivia,717,Historical_games,General Trivia,75479,http://www.mobygames.com/game/general-trivia,1992,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
war-final-assault,718,Historical_games,War: Final Assault,147230,http://www.mobygames.com/game/war-final-assault,1999,5.49,5.489349392,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
worlds-greatest-blackjack-program,719,Historical_games,The Worlds Greatest Blackjack Program,51354,http://www.mobygames.com/game/worlds-greatest-blackjack-program,1981,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
bionicle-heroes_,720,Historical_games,Bionicle Heroes,28276,http://www.mobygames.com/game/bionicle-heroes_,2006,5.55,5.545795144,7,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
snoopy-vs-the-red-baron,721,Historical_games,Snoopy vs. the Red Baron,28620,http://www.mobygames.com/game/snoopy-vs-the-red-baron,2006,8.5,8.495085692,7.1,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
reel-deal-casino-high-roller,722,Historical_games,Reel Deal Casino: High Roller,174966,http://www.mobygames.com/game/reel-deal-casino-high-roller,2006,5.98,5.983249723,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
virus-rage,723,Historical_games,Virus Rage,81416,http://www.mobygames.com/game/virus-rage,1983,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
overrun,724,Historical_games,Overrun!,51662,http://www.mobygames.com/game/overrun,1989,12.5,12.50273409,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
racquetball,725,Historical_games,Racquetball,23099,http://www.mobygames.com/game/racquetball,1981,1.69,1.693372563,4.4,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
duel-test-drive-ii__,726,Historical_games,The Duel: Test Drive II,140814,http://www.mobygames.com/game/duel-test-drive-ii__,1992,9,9.003097461,6.5,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
santa-paravia-and-fiumaccio_____,727,Historical_games,Santa Paravia and Fiumaccio,148396,http://www.mobygames.com/game/santa-paravia-and-fiumaccio_____,1978,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
ice-climber,728,Historical_games,Ice Climber,8544,http://www.mobygames.com/game/ice-climber,1984,1.11,1.114803604,6.3,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://www.nintendo.com/store/products/arcade-archives-ice-climber-switch/,,,,,,
da-vincis-secret,729,Historical_games,Da Vinci's Secret,32065,http://www.mobygames.com/game/da-vincis-secret,2006,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
hurdles,730,Historical_games,Hurdles,50338,http://www.mobygames.com/game/hurdles,1994,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
sea-rogue,731,Historical_games,Sea Rogue,7512,http://www.mobygames.com/game/sea-rogue,1992,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
impossible-mission_,732,Historical_games,Impossible Mission,47071,http://www.mobygames.com/game/impossible-mission_,2007,1.99,1.989712762,5.9,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://www.nintendo.com/store/products/impossible-mission-switch/,Switch eShop,,,,,
cyborg-justice,733,Historical_games,Cyborg Justice,31356,http://www.mobygames.com/game/cyborg-justice,1993,4.24,4.240487127,6.2,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
punisher-no-mercy,734,Historical_games,The Punisher: No Mercy,137851,http://www.mobygames.com/game/punisher-no-mercy,2009,,0,6.2,0,0,0,0,0,F:入手困難,1,N,,,,,,,
elite-warriors-vietnam,735,Historical_games,Elite Warriors: Vietnam,23953,http://www.mobygames.com/game/elite-warriors-vietnam,2005,2.55,2.554170283,5.5,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://store.steampowered.com/app/514140/Elite_Warriors_Vietnam/,"Steam, GoG, Humble Bundle",,,,,
star-trap__,736,Historical_games,Star Trap,146396,http://www.mobygames.com/game/star-trap__,1981,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
armored-fist-3,737,Historical_games,Armored Fist 3,4571,http://www.mobygames.com/game/armored-fist-3,1999,1.28,1.28414086,6.8,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,http://www.novalogic.com/games.asp?GameKey=AF3,"Steam, GoG, and directly on the NovaLogic website",,,,,
bratz-4-real_,738,Historical_games,Bratz 4 Real,157219,http://www.mobygames.com/game/bratz-4-real_,2007,16.22,16.22109801,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
spy-fox-2-some-assembly-required,739,Historical_games,"Spy Fox 2: ""Some Assembly Required""",20987,http://www.mobygames.com/game/spy-fox-2-some-assembly-required,1999,,0,7.9,0,0,1.2,1.3,1.2,C:正規デジタル流通のみ,1,Y,https://store.steampowered.com/app/292240/Spy_Fox_2_Some_Assembly_Required/,"Steam, App Store",,,,,
castle-zhagwhar,740,Historical_games,Castle Zhagwhar,182338,http://www.mobygames.com/game/castle-zhagwhar,1989,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
traffic-department-2192,741,Historical_games,Traffic Department 2192,300,http://www.mobygames.com/game/traffic-department-2192,1994,,0,7.1,0,0,0,0,0,F:入手困難,1,N,,,,,,,
office-disorders,742,Historical_games,Office DisOrders,44363,http://www.mobygames.com/game/office-disorders,2009,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
takin-it-to-the-hoop,743,Historical_games,Takin' It to the Hoop,54081,http://www.mobygames.com/game/takin-it-to-the-hoop,1989,,0,5.9,0,0,0,0,0,F:入手困難,1,N,,,,,,,
cubix_,744,Historical_games,Cubix,175904,http://www.mobygames.com/game/cubix_,1983,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
hobbit_,745,Historical_games,The Hobbit,13092,http://www.mobygames.com/game/hobbit_,2003,4.99,4.988393342,6.8,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
experiment-12,746,Historical_games,Experiment 12,47629,http://www.mobygames.com/game/experiment-12,2009,,0,,0,0,1.2,1.3,1.2,C:正規デジタル流通のみ,1,Y,https://www.geocities.ws/experimenttwelve/,zip file still available for download on original host site,,,,,
destiny-of-an-emperor,747,Historical_games,Destiny of an Emperor,8973,http://www.mobygames.com/game/destiny-of-an-emperor,1989,15.55,15.5508047,7,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
chess_terminal,748,Historical_games,Chess,100272,http://www.mobygames.com/game/chess_terminal,1972,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
hang-on-gp,749,Historical_games,Hang-On GP,26374,http://www.mobygames.com/game/hang-on-gp,1995,2,19.99590768,6.9,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
franklins-activity-center,750,Historical_games,Franklin's Activity Center,79596,http://www.mobygames.com/game/franklins-activity-center,1996,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
blues-clues-classic-clues,751,Historical_games,Blue's Clues: Classic Clues,112290,http://www.mobygames.com/game/blues-clues-classic-clues,2004,,0,,0,0,0,0,0,F:入手困難,1,N,,"Released on DVD (for DVD video players), still purchaseable on amazon but seemingly out of print",,,,,
pencil-whipped,752,Historical_games,Pencil Whipped,20208,http://www.mobygames.com/game/pencil-whipped,2000,,0,,0,0,0,0,0,F:入手困難,1,N,,"self-released game designed for Independent Games Festival and part of the Game Show exhibition at the Massachusetts Museum of Contemporary Art (https://www.wired.com/2002/04/pencil-whipped/), apparently never sold or released to retail. Original site is offline.",,,,,
destruction-derby-64,753,Historical_games,Destruction Derby 64,3650,http://www.mobygames.com/game/destruction-derby-64,1999,16.66,16.65855259,6.5,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
final-fantasy-ii_,754,Historical_games,Final Fantasy II,4572,http://www.mobygames.com/game/final-fantasy-ii_,1991,12.23,12.22756105,7.6,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,,"This is the original US release of Final Fantasy IV. Pixel Remaster and 3D remake versions are available on Steam. The assets in these version differ from the original release, and there are changes to the difficulty balancing, but the game is overall not substantially different to versions currently in release. (*""Final Fantasy II"" is called ""Final Fantasy IV"" in Japan)",,,,,
bruce-jenners-world-class-decathlon,755,Historical_games,Bruce Jenner's World Class Decathlon,20690,http://www.mobygames.com/game/bruce-jenners-world-class-decathlon,1996,,0,3.9,0,0,0,0,0,F:入手困難,1,N,,,,,,,
muppet-pinball-mayhem,756,Historical_games,Muppet Pinball Mayhem,9841,http://www.mobygames.com/game/muppet-pinball-mayhem,2002,8.89,8.890205956,7.6,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
melon-brains,757,Historical_games,Melon Brains,123068,http://www.mobygames.com/game/melon-brains,1994,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
mad-global-thermonuclear-war,758,Historical_games,MAD: Global Thermonuclear War,17161,http://www.mobygames.com/game/mad-global-thermonuclear-war,2001,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
growl,759,Historical_games,Growl,6661,http://www.mobygames.com/game/growl,1991,2.77,2.765841853,6.2,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://live.antstream.com/game-details/a33e23cd-8840-4d96-8c79-c56d434a3ae4/info?id=a33e23cd-8840-4d96-8c79-c56d434a3ae4&focusElement=playButton,"Localization of Runark, genesis port of arcade original. Arcade version was available on Taito Legends 2 compilation, which is no longer available for purchase. Genesis ver. unavailable, but will count as Y given arcade playable on antstream.",,,,,
mechwarrior-3,760,Historical_games,MechWarrior 3,284,http://www.mobygames.com/game/mechwarrior-3,1999,7.78,7.775402352,8.2,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
station-5,761,Historical_games,Station 5,124397,http://www.mobygames.com/game/station-5,1984,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
tournament-100,762,Historical_games,Tournament 100,109652,http://www.mobygames.com/game/tournament-100,1976,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
dreamer-series-shop-owner,763,Historical_games,Dreamer Series: Shop Owner,38812,http://www.mobygames.com/game/dreamer-series-shop-owner,2008,3.79,3.78892111,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
run-your-own-train,764,Historical_games,Run Your Own Train,150662,http://www.mobygames.com/game/run-your-own-train,1987,15,15.00045862,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
petz-sports,765,Historical_games,Petz Sports,40535,http://www.mobygames.com/game/petz-sports,2008,2.22,2.222551489,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
call-of-duty-2,766,Historical_games,Call of Duty 2,20150,http://www.mobygames.com/game/call-of-duty-2,2005,0.99,0.987800662,8.3,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://store.steampowered.com/app/2630/Call_of_Duty_2/,,,,,,
tinktonk-tinkas-mazes,767,Historical_games,Tink!Tonk!: Tinka's Mazes,156880,http://www.mobygames.com/game/tinktonk-tinkas-mazes,1984,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
igor-objective-uikokahonia,768,Historical_games,Igor: Objective Uikokahonia,2170,http://www.mobygames.com/game/igor-objective-uikokahonia,1994,,0,7.1,0,0,0,0,0,F:入手困難,1,N,,,,,,,
cyberswine,769,Historical_games,Cyberswine,157,http://www.mobygames.com/game/cyberswine,1997,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
castlevania-iii-draculas-curse-,770,Historical_games,Castlevania III: Dracula's Curse,7415,http://www.mobygames.com/game/castlevania-iii-draculas-curse-,1989,,0,8.3,0,0,1.2,1.3,1.2,C:正規デジタル流通のみ,1,Y,https://www.nintendo.com/store/products/castlevania-anniversary-collection-switch/,available as part of Castlevania Anniversary Collection,,,,,
super-mario-world-super-mario-advance-2,771,Historical_games,Super Mario World: Super Mario Advance 2,5899,http://www.mobygames.com/game/super-mario-world-super-mario-advance-2,2001,5,5.00250478,8.6,1,0,0,0,1,A: 中古流通のみ,1,N,,Previously available on Wii U Virtual Console. The Super Mario Advance series are ports of Super Nintendo games with significant alterations are considered their own titles.,,,,,
wwe-road-to-wrestlemania-x8,772,Historical_games,WWE Road to Wrestlemania X8,8948,http://www.mobygames.com/game/wwe-road-to-wrestlemania-x8,2002,5.77,5.771578153,6.7,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
hot-wheels-battle-force-5,773,Historical_games,Hot Wheels: Battle Force 5,88274,http://www.mobygames.com/game/hot-wheels-battle-force-5,2009,3.99,3.993536961,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
joust__,774,Historical_games,Joust,135230,http://www.mobygames.com/game/joust__,1978,,0,,0,0,0,0,0,F:入手困難,1,N,,Distinct from the more well-known Williams release of the same name,,,,,
robopon-sun-version,775,Historical_games,Robopon Sun Version,64281,http://www.mobygames.com/game/robopon-sun-version,1998,29.99,29.99386152,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
simpsons-skateboarding,776,Historical_games,The Simpsons: Skateboarding,23552,http://www.mobygames.com/game/simpsons-skateboarding,2002,2.57,2.568281721,4.7,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
biggieboy-garage-door-opener,777,Historical_games,BiggieBoy Garage Door Opener,111269,http://www.mobygames.com/game/biggieboy-garage-door-opener,1999,,0,,0,0,0,0,0,F:入手困難,1,N,,"freeware windows game, unable to locate online",,,,,
those-amazing-reading-machines-iv,778,Historical_games,Those Amazing Reading Machines IV,160600,http://www.mobygames.com/game/those-amazing-reading-machines-iv,1986,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
scapeghost,779,Historical_games,Scapeghost,4811,http://www.mobygames.com/game/scapeghost,1989,147.76,147.7608676,8,1,0.5,0,0,1.5,B:プレミア中古,1,N,,,,,,,
high-seas-trader,780,Historical_games,High Seas Trader,4256,http://www.mobygames.com/game/high-seas-trader,1995,,0,6.5,0,0,0,0,0,F:入手困難,1,N,,,,,,,
chakan,781,Historical_games,Chakan,8052,http://www.mobygames.com/game/chakan,1992,6.99,6.992217542,7,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
nagano-winter-olympics-98,782,Historical_games,Nagano Winter Olympics '98,21430,http://www.mobygames.com/game/nagano-winter-olympics-98,1997,,0,6.4,0,0,0,0,0,F:入手困難,1,N,,,,,,,
double-feature-solitaire,783,Historical_games,Double Feature Solitaire,1140,http://www.mobygames.com/game/double-feature-solitaire,1994,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
overturn,784,Historical_games,Overturn,92086,http://www.mobygames.com/game/overturn,2009,,0,,0,0,0,0,0,F:入手困難,1,N,,WiiWare exclusive,,,,,
streets-of-rage-3,785,Historical_games,Streets of Rage 3,11193,http://www.mobygames.com/game/streets-of-rage-3,1994,14.99,14.9934029,7.7,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://store.steampowered.com/app/211206/Streets_of_Rage_3/,,,,,,
romancing-saga_,786,Historical_games,Romancing SaGa,21428,http://www.mobygames.com/game/romancing-saga_,2005,8.94,8.93959599,6.8,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://store.steampowered.com/app/1793030/Romancing_SaGa_Minstrel_Song_Remastered/,"Remastered as ""Romancig SaGa -Minstrel Song-,"" seems fairly true to original for our purposes",,,,,
star-hammer,787,Historical_games,Star Hammer,40402,http://www.mobygames.com/game/star-hammer,1994,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
dnd_,788,Historical_games,dnd,116361,http://www.mobygames.com/game/dnd_,1975,,0,,0,0,0,0,0,F:入手困難,1,N,,terminal-based game,,,,,
neopets-petpet-adventures-the-wand-of-wishing,789,Historical_games,Neopets: Petpet Adventures - The Wand of Wishing,83406,http://www.mobygames.com/game/neopets-petpet-adventures-the-wand-of-wishing,2008,,0,,0,0,0,0,0,F:入手困難,1,N,,"PSP game reissued on PS Vita but practically unavailable due to technical issues. See ""Service Degradation of PlayStation 3 and PlayStation Vita Storefronts.""",,,,,
littlest-pet-shop-garden,790,Historical_games,Littlest Pet Shop: Garden,55160,http://www.mobygames.com/game/littlest-pet-shop-garden,2008,2.78,2.779953291,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
ncaa-gamebreaker-98,791,Historical_games,NCAA GameBreaker 98,49944,http://www.mobygames.com/game/ncaa-gamebreaker-98,1997,0.99,0.987800662,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
wizards-gold,792,Historical_games,Wizard's Gold,162770,http://www.mobygames.com/game/wizards-gold,1982,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
ricochet______,793,Historical_games,Ricochet,117389,http://www.mobygames.com/game/ricochet______,1981,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
fighter-pilot___,794,Historical_games,Fighter Pilot,123405,http://www.mobygames.com/game/fighter-pilot___,1978,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
tiltmaze,795,Historical_games,TiltMaze,70763,http://www.mobygames.com/game/tiltmaze,1989,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
disneys-dinosaur,796,Historical_games,Disney's Dinosaur,23793,http://www.mobygames.com/game/disneys-dinosaur,2000,,0,5.5,0,0,0,0,0,F:入手困難,1,N,,,,,,,
star-thief,797,Historical_games,Star Thief,123091,http://www.mobygames.com/game/star-thief,1981,22.99,22.99458826,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
suzuki-super-bikes-ii-riding-challenge_,798,Historical_games,Suzuki Super-Bikes II: Riding Challenge,174975,http://www.mobygames.com/game/suzuki-super-bikes-ii-riding-challenge_,2006,0.99,0.987800662,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
dukes-of-hazzard-ii-daisy-dukes-it-out,799,Historical_games,The Dukes of Hazzard II: Daisy Dukes It Out,10316,http://www.mobygames.com/game/dukes-of-hazzard-ii-daisy-dukes-it-out,2000,7.99,7.994129642,6,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
bomberman-max-2-red-advance,800,Historical_games,Bomberman Max 2: Red Advance,10728,http://www.mobygames.com/game/bomberman-max-2-red-advance,2002,9.99,9.990898122,6.8,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
miami-law,801,Historical_games,Miami Law,55409,http://www.mobygames.com/game/miami-law,2009,10.1,10.10378963,6.3,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
legendos-the-three-musketeers,802,Historical_games,Legendo's The Three Musketeers,27236,http://www.mobygames.com/game/legendos-the-three-musketeers,2005,,0,6.6,0,0,0,0,0,F:入手困難,1,N,,,,,,,
thunderbirds__,803,Historical_games,Thunderbirds,34396,http://www.mobygames.com/game/thunderbirds__,1989,13.5,13.50464619,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
scrabble-blast_,804,Historical_games,Scrabble Blast!,50058,http://www.mobygames.com/game/scrabble-blast_,2005,4.88,4.882557557,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
